Inicio_Faena;Inicio_Venta;Embarcacion;Marca_Motor;Modelo_Motor;Caballos_Motor;Origen;Origen_Latitud;Origen_Longuitud;Millas_Recorridas;Especie;Aparejo;Volumen_Kg;Talla_cm;Precio_Kg;Venta;Precio_Galon;Costo_Combustible;Ganancia
25 02 2020 10:30;25 02 2020 10:50;ARIANITA;BRIGGS STRATTON;BRIGGS STRATTON ZETA;16;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;150.00;29.00;3.00;87.00;5.82;1.278012199;85.72
25 02 2020 10:32;25 02 2020 10:52;LUCHITO;YAMAHA;YAMAHA E15DMH;15;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;150.00;29.00;3.00;87.00;5.82;1.278012199;85.72
25 02 2020 08:38;25 02 2020 08:56;ZAMBO;PARSUN;PARSUN T15BM;15;MOÑAQUE;-9.00;-78.65;4.36;MACHETE;CORTINA;150.00;24.00;2.50;60.00;5.82;1.278012199;58.72
25 02 2020 08:55;25 02 2020 09:15;TATIANA;YAMAHA;YAMAHA E15DMH;15;MOÑAQUE;-9.00;-78.65;4.36;MACHETE;CORTINA;150.00;24.00;2.50;60.00;5.82;1.278012199;58.72
25 02 2020 09:05;25 02 2020 09:30;MAYRA;YAMAHA;YAMAHA E15DMH;15;MOÑAQUE;-9.00;-78.65;4.36;MACHETE;CORTINA;150.00;24.00;2.50;60.00;5.82;1.278012199;58.72
26 02 2020 09:40;26 02 2020 10:00;NOEMI;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORTINA;60.00;19.00;1.00;19.00;5.82;0.382622672;18.62
27 02 2020 08:27;27 02 2020 08:47;ARIANITA;BRIGGS STRATTON;BRIGGS STRATTON ZETA;16;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;150.00;36.00;3.00;108.00;5.82;1.278012199;106.72
27 02 2020 09:05;27 02 2020 09:23;ZAMBO;PARSUN;PARSUN T15BM;15;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;150.00;36.00;3.00;108.00;5.82;1.278012199;106.72
27 02 2020 10:32;27 02 2020 10:52;LUCHITO;YAMAHA;YAMAHA E15DMH;15;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;150.00;36.00;3.00;108.00;5.82;1.278012199;106.72
27 02 2020 11:48;27 02 2020 12:08;RUBI;SUSUKI;SUSUKI DT25;25;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;150.00;36.00;3.00;108.00;5.82;1.278012199;106.72
28 02 2020 11:33;28 02 2020 11:58;MAYRA;YAMAHA;YAMAHA E15DMH;15;MOÑAQUE;-9.00;-78.65;4.36;CHIRI;CORTINA;90.00;19.00;3.00;57.00;5.82;1.274206703;55.73
28 02 2020 12:05;28 02 2020 12:20;NANCY;PANTHER;PANTHER 190F;10;MOÑAQUE;-9.00;-78.65;4.36;CHIRI;CORTINA;90.00;19.00;3.00;57.00;5.82;1.274206703;55.73
28 02 2020 12:30;28 02 2020 12:50;REY DE REYES;YAMAHA;YAMAHA E25DMH;25;MOÑAQUE;-9.00;-78.65;4.36;CHIRI;CORTINA;120.00;19.00;3.00;57.00;5.82;1.276109451;55.72
28 02 2020 09:50;28 02 2020 10:10;ARIANITA;BRIGGS STRATTON;BRIGGS STRATTON ZETA;16;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;150.00;37.00;3.00;111.00;5.82;1.278012199;109.72
28 02 2020 09:55;28 02 2020 10:25;PIERO;BRIGGS STRATTON;BRIGGS STRATTON ZETA;16;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;150.00;37.00;3.00;111.00;5.82;1.278012199;109.72
28 02 2020 10:32;28 02 2020 10:52;LUCHITO;YAMAHA;YAMAHA E15DMH;15;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;150.00;37.00;3.00;111.00;5.82;1.278012199;109.72
28 02 2020 11:06;28 02 2020 11:26;TATIANA;YAMAHA;YAMAHA E15DMH;15;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;180.00;37.00;3.00;111.00;5.82;1.279914946;109.72
29 02 2020 08:40;29 02 2020 09:00;LUCHITO;YAMAHA;YAMAHA E15DMH;15;MOÑAQUE;-9.00;-78.65;4.36;LENGUADO;CORTINA;30.00;34.00;20.00;680.00;5.82;1.270401208;678.73
29 02 2020 11:20;29 02 2020 11:40;REY DE REYES;YAMAHA;YAMAHA E25DMH;25;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;120.00;37.00;3.00;111.00;5.82;1.276109451;109.72
29 02 2020 11:37;29 02 2020 11:52;NANCY;PANTHER;PANTHER 190F;10;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;150.00;37.00;3.00;111.00;5.82;1.278012199;109.72
29 02 2020 12:18;29 02 2020 12:38;TATIANA;YAMAHA;YAMAHA E15DMH;15;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;150.00;37.00;3.00;111.00;5.82;1.278012199;109.72
29 02 2020 12:45;29 02 2020 13:10;MI PAUL;YAMAHA;YAMAHA E15DMH;15;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;150.00;37.00;3.00;111.00;5.82;1.278012199;109.72
02 03 2020 09:40;02 03 2020 10:00;LUCHITO;YAMAHA;YAMAHA E15DMH;15;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;90.00;37.00;3.00;111.00;5.82;1.274206703;109.73
02 03 2020 10:20;02 03 2020 10:40;REY DE REYES;YAMAHA;YAMAHA E25DMH;25;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;90.00;37.00;3.00;111.00;5.82;1.274206703;109.73
02 03 2020 11:09;02 03 2020 11:24;NANCY;PANTHER;PANTHER 190F;10;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;120.00;37.00;3.00;111.00;5.82;1.276109451;109.72
02 03 2020 11:47;02 03 2020 12:07;TATIANA;YAMAHA;YAMAHA E15DMH;15;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;120.00;37.00;3.00;111.00;5.82;1.276109451;109.72
02 03 2020 12:25;02 03 2020 12:50;MI PAUL;YAMAHA;YAMAHA E15DMH;15;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;120.00;37.00;3.00;111.00;5.82;1.276109451;109.72
03 03 2020 07:45;03 03 2020 08:05;LUCHITO;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;CHIRI;CORTINA;60.00;16.00;3.00;48.00;5.51;0.362242427;47.64
03 03 2020 07:58;03 03 2020 08:18;TATIANA;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;CHIRI;CORTINA;90.00;16.00;3.00;48.00;5.51;0.362784165;47.64
